বাঙ্গালী জাতির পরিচয় কি?	উঃ শংকর জাতি হিসেবে।			
বাংলাদেশের ব্যাংকিং জগতের প্রথম এম.ডি. ?	উঃ আনিসা হামেদ			
বাংলাদেশের হাইকোর্টের প্রথম মহিলা বিচারপতি?	উঃ নাজমুন আরা সুলতানা			
বাংলাদেশের আপীল প্রথম মহিলা বিচারপতি?	উঃ নাজমুন আরা সুলতানা			
বাংলাদেশের প্রথম মহিলা বিগ্রেডিয়ার?	উঃ সুরাইয়া রহমান।			
বাংলাদেশের প্রথম জেলা প্রকাশক?	উঃ কামরুন নেসা খানম, মোশফেক ইফফাত, বেগম মমতাজ আহমেদ, রাবেয়া বেগম।			
ঢাকা বিশ্ববিদ্যালয়ের প্রথম মহিলা উপ-উপাচার্য?	উঃ ডঃ জিন্নাতুন্নেছা তাহমিদা			
বাংলাদেশ পাবলিক সার্ভিস কমিশনের প্রথম মহিলা চেয়ারম্যান?	উঃ ডঃ জিন্নাতুন্নেছা তাহমিদা			
বাংলাদেশের প্রথম ভূ-উপগ্রহ কেন্দ্র ?	উঃ বেতবুনিয়া, রাঙ্গামাটি।			
প্রথম বাঙ্গালী ভাইস চ্যান্সেলর ?	উঃ স্যার এফ রহমান			
প্রথম বাঙ্গালী বিলেত গমণকারী ?	উঃ রাজা রামমোহন রায়।			
প্রথম বাঙ্গালী বিচারপতি?	উঃ স্যার সৈয়দ আমির আলী			
প্রথম বাঙ্গালী নোবেল বিজয়ী ?	উঃ রবীন্দ্রনাথ ঠাকুর			
বাংলাদেশের প্রথম উপজাতীয় রাষ্ট্রদূত?	উঃ শরদিন্দু শেখর চাকমা			
বাংলাদেশের প্রথম বানিজ্য জাহাজ ?	উঃ বাংলার দূত			
বাংলাদেশের প্রথম রণতরী ?	উঃ বি. এন. এস. পদ্মা			
প্রথম বাংলা চলচ্চিত্র?	উঃ মুখ ও মুখোশ, ৩ আগষ্ট, ১৯৫৬।			
প্রথম মুসলিম অভিনেত্রী ?	উঃ বনানী চৌধুরী			
প্রথম ইংলিশ চ্যানেল অতিক্রমকারী বাঙ্গালী ?	উঃ ব্রজেন দাশ (৬ বার)			
বিটিভি’র প্রথম মহিলা মহাপরিচালক ?	উঃ ফেরদৌস আরা বেগম			
বাংলাদেশের প্রথম নারী ওসি কে?	উঃ হোসনে আরা বেগম।			
জাতিসংঘে নিয়োজিত বাংলাদেশের প্রথম (মহিলা) স্থায়ী প্রতিনিধি কে?	উঃ ইসমাত জাহান।			
বাংলাদেশের প্রথম মহিলা এভারেষ্ট বিজয়ী কে?	উঃ নিশাত মজুমদার (২০ মে, ২০১২)	
বাংলাদেশের প্রথম মহিলা পারাট্রুপার কে?	উঃ সেনাবাহিনীর ক্যাপ্টেন জান্নাতুল ফেরদৌস। (০৭/০২/২০১৩)			
বাংলাদেশের প্রথম নারী সহকারী ট্রেন কে?	উঃ সালমা খাতুন।			
সুপ্রিমকোর্টের প্রথম রেজিস্ট্রার জেনারেল কে?	উঃ সৈয়দ আমিনুল ইসলাম।			
বাংলাদেশের বৃহত্তম বাঁধ ?	উঃ কাপ্তাই বাঁধ।			
বাংলাদেশের বৃহত্তম বিল ?	উঃ চলন বিল।			
বাংলাদেশের বৃহত্তম চিনির কল ?	উঃ কেরু এন্ড কোং, দর্শনা, কুষ্টিয়া।			
বাংলাদেশের বৃহত্তম পাটকল ছিল?	উঃ আদমজী জুট মিল (নারায়নগঞ্জ)।			
বাংলাদেশের বৃহত্তম পাটকল বর্তমানে কোনটি?	উঃ ক্রিসেন্ট জুট মিলস (খুলনা)। (তাঁত -১১৩৬ এবং আয়তন-১১৩ একর)			
বাংলাদেশের বৃহত্তম রেল স্টেশন ?	উঃ কমলাপুর (ঢাকা)।			
বাংলাদেশের বৃহত্তম রেল জংশন ?	উঃ ঈশ্বরদী রেলওয়ে জংশন।			
বাংলাদেশের বৃহত্তম মসজিদ ?	উঃ বায়তুল মোকাররম (ঢাকা)।			
বাংলাদেশের বৃহত্তম বিমান বন্দর ?	উঃ হজরত শাহ্‌ জালাল আর্ন্তজাতিক বিমান বন্দর (ঢাকা)।			
বাংলাদেশের বৃহত্তম একক বনভূমি ?	উঃ সুন্দরবন।			
বাংলাদেশের বৃহত্তম গ্রন্থাগার ?	উঃ পাবলিক লাইব্রেরী (ঢাকা)।			
বাংলাদেশের বৃহত্তম উদ্যান ?	উঃ সোহরাওয়ার্দী উদ্যান (ঢাকা)।			
বাংলাদেশের বৃহত্তম পার্ক ?	উঃ রমনা পার্ক।			
বাংলাদেশের বৃহত্তম উপজেলা?	উঃ বাঘাইছড়ি (১৯৮১ ব: কি:মি:)।			
বাংলাদেশের বৃহত্তম উপজেলা?	উঃ বেগমগঞ্জ, নোয়াখালী (জনসংখ্যার ভিত্তিতে)।			
